Municipio,Carrera,Universidad,Promedio
Ajuchitlán del Progreso,Economía,UAGro,NA
Chilpancingo de los Bravo,Arquitectura,UNAM,9.5
Olinalá,Medicina,BUAP,9.46
Chilapa de Álvarez,Ingeniería Mecatrónica,BUAP,8.5
Teloloapan,Enfermería,UNAM,9.3
Chilpancingo de los Bravo,Relaciones internacionales,UNAM / BUAP,9.6
Técpan de Galeana,Medicina,UAGro,9.9
Chilpancingo de los Bravo,Arquitectura,UAGro,9
Acapulco de Juárez,Ingeniería Civil,UAGro,10
Chilpancingo de los Bravo,Ingeniería industrial,ITST Teziutlán,8.5
Chilpancingo de los Bravo,Química Bióloga Parasitóloga,UAGro,8.29
Chilpancingo de los Bravo,Ingeniería en Sistemas Computacionales,ITChilpancingo,9.7
Chilpancingo de los Bravo,Enfermería,UAGro,8.27
Chilpancingo de los Bravo,Enfermería,UAGro,8
Técpan de Galeana,Ingeniería civil,UAGro,10
Chilapa de Álvarez,Medicina,UAGro,NA
Chilapa de Álvarez,Medicina,UAGro,NA
Chilapa de Álvarez,Medicina,IPN,9.56
Chilpancingo de los Bravo,Gastronomía,UAEM,NA
Taxco de Alarcón,NA,NA,NA
